TRAJECTORY;ASTAGarageSquare_ego;0.1;1809;;;;;;;
LINE;1.87;26.85;103.62;0.01; 5.07;  3.94;   2.12;    0.00;0;ENDLINE
LINE;1.88;26.86;103.58;0.01; 5.07;  3.96;   2.12;    0.00;0;ENDLINE
LINE;1.89;26.88;103.54;0.01; 5.07;  3.99;   2.12;    0.00;0;ENDLINE
LINE;1.90;26.89;103.51;0.01; 5.07;  4.01;   2.12;    0.00;0;ENDLINE
LINE;1.91;26.91;103.47;0.01; 5.07;  4.03;   2.12;    0.00;0;ENDLINE
LINE;1.92;26.92;103.43;0.01; 5.07;  4.05;   2.12;    0.00;0;ENDLINE
LINE;1.93;26.93;103.39;0.01; 5.07;  4.07;   2.12;    0.00;0;ENDLINE
LINE;1.94;26.95;103.36;0.01; 5.07;  4.09;   2.12;    0.00;0;ENDLINE
LINE;1.95;26.96;103.32;0.01; 5.07;  4.11;   2.12;    0.00;0;ENDLINE
LINE;1.96;26.98;103.28;0.01; 5.07;  4.13;   2.12;    0.00;0;ENDLINE
LINE;1.97;26.99;103.24;0.01; 5.07;  4.16;   2.12;    0.00;0;ENDLINE
LINE;1.98;27.01;103.20;0.01; 5.07;  4.18;   2.12;    0.00;0;ENDLINE
LINE;1.99;27.02;103.16;0.01; 5.07;  4.20;   2.12;    0.00;0;ENDLINE
LINE;2.00;27.04;103.12;0.01; 5.07;  4.22;   2.12;    0.00;0;ENDLINE
LINE;2.01;27.05;103.08;0.01; 5.07;  4.24;   2.12;    0.00;0;ENDLINE
LINE;2.02;27.07;103.04;0.01; 5.07;  4.26;   2.12;    0.00;0;ENDLINE
LINE;2.03;27.08;103.00;0.01; 5.07;  4.28;   2.12;    0.00;0;ENDLINE
LINE;2.04;27.10;102.96;0.01; 5.07;  4.30;   2.12;    0.00;0;ENDLINE
LINE;2.05;27.11;102.92;0.01; 5.07;  4.33;   2.12;    0.00;0;ENDLINE
LINE;2.06;27.13;102.88;0.01; 5.07;  4.35;   2.12;    0.00;0;ENDLINE
LINE;2.07;27.14;102.84;0.01; 5.07;  4.37;   2.12;    0.00;0;ENDLINE
LINE;2.08;27.16;102.80;0.01; 5.07;  4.39;   2.12;    0.00;0;ENDLINE
LINE;2.09;27.17;102.76;0.01; 5.07;  4.41;   2.12;    0.00;0;ENDLINE
LINE;2.10;27.19;102.72;0.01; 5.07;  4.43;   2.11;    0.00;0;ENDLINE
LINE;2.11;27.20;102.68;0.01; 5.07;  4.45;   2.11;    0.00;0;ENDLINE
LINE;2.12;27.22;102.63;0.01; 5.07;  4.47;   2.11;    0.00;0;ENDLINE
LINE;2.13;27.24;102.59;0.01; 5.07;  4.49;   2.11;    0.00;0;ENDLINE
LINE;2.14;27.25;102.55;0.01; 5.07;  4.52;   2.11;    0.00;0;ENDLINE
LINE;2.15;27.27;102.51;0.01; 5.07;  4.54;   2.11;    0.00;0;ENDLINE
LINE;2.16;27.28;102.47;0.01; 5.07;  4.56;   2.11;    0.00;0;ENDLINE
LINE;2.17;27.30;102.42;0.01; 5.07;  4.58;   2.11;    0.00;0;ENDLINE
LINE;2.18;27.32;102.38;0.01; 5.07;  4.60;   2.11;    0.00;0;ENDLINE
LINE;2.19;27.33;102.34;0.01; 5.07;  4.62;   2.11;    0.00;0;ENDLINE
LINE;2.20;27.35;102.29;0.01; 5.07;  4.64;   2.11;    0.00;0;ENDLINE
LINE;2.21;27.37;102.25;0.01; 5.07;  4.66;   2.11;    0.00;0;ENDLINE
LINE;2.22;27.38;102.21;0.01; 5.07;  4.68;   2.11;    0.00;0;ENDLINE
LINE;2.23;27.40;102.16;0.01; 5.07;  4.71;   2.11;    0.00;0;ENDLINE
LINE;2.24;27.42;102.12;0.01; 5.07;  4.73;   2.11;    0.00;0;ENDLINE
LINE;2.25;27.43;102.07;0.01; 5.07;  4.75;   2.11;    0.00;0;ENDLINE
LINE;2.26;27.45;102.03;0.01; 5.07;  4.77;   2.11;    0.00;0;ENDLINE
LINE;2.27;27.47;101.98;0.01; 5.07;  4.79;   2.11;    0.00;0;ENDLINE
LINE;2.28;27.48;101.94;0.01; 5.07;  4.81;   2.11;    0.00;0;ENDLINE
LINE;2.29;27.50;101.89;0.01; 5.07;  4.83;   2.11;    0.00;0;ENDLINE
LINE;2.30;27.52;101.85;0.01; 5.07;  4.85;   2.11;    0.00;0;ENDLINE
LINE;2.31;27.53;101.80;0.01; 5.07;  4.87;   2.11;    0.00;0;ENDLINE
LINE;2.32;27.55;101.76;0.01; 5.07;  4.89;   2.11;    0.00;0;ENDLINE
LINE;2.33;27.57;101.71;0.01; 5.07;  4.92;   2.11;    0.00;0;ENDLINE
LINE;2.34;27.59;101.67;0.01; 5.07;  4.94;   2.11;    0.00;0;ENDLINE
LINE;2.35;27.60;101.62;0.01; 5.07;  4.96;   2.11;    0.00;0;ENDLINE
LINE;2.36;27.62;101.57;0.01; 5.07;  4.98;   2.11;    0.00;0;ENDLINE
LINE;2.37;27.64;101.53;0.01; 5.07;  5.00;   2.11;    0.00;0;ENDLINE
LINE;2.38;27.66;101.48;0.01; 5.07;  5.02;   2.11;    0.00;0;ENDLINE
LINE;2.39;27.67;101.43;0.01; 5.07;  5.04;   2.11;    0.00;0;ENDLINE
LINE;2.40;27.69;101.38;0.01; 5.07;  5.06;   2.11;    0.00;0;ENDLINE
LINE;2.41;27.71;101.34;0.01; 5.07;  5.08;   2.11;    0.00;0;ENDLINE
LINE;2.42;27.73;101.29;0.01; 5.07;  5.11;   2.11;    0.00;0;ENDLINE
LINE;2.43;27.75;101.24;0.01; 5.07;  5.13;   2.11;    0.00;0;ENDLINE
LINE;2.44;27.76;101.19;0.01; 5.07;  5.15;   2.11;    0.00;0;ENDLINE
LINE;2.45;27.78;101.15;0.01; 5.07;  5.17;   2.10;    0.00;0;ENDLINE
LINE;2.46;27.80;101.10;0.01; 5.07;  5.19;   2.10;    0.00;0;ENDLINE
LINE;2.47;27.82;101.05;0.01; 5.07;  5.21;   2.10;    0.00;0;ENDLINE
LINE;2.48;27.84;101.00;0.01; 5.07;  5.23;   2.10;    0.00;0;ENDLINE
LINE;2.49;27.86;100.95;0.01; 5.07;  5.25;   2.10;    0.00;0;ENDLINE
LINE;2.50;27.87;100.90;0.01; 5.07;  5.27;   2.10;    0.00;0;ENDLINE
LINE;2.51;27.89;100.85;0.01; 5.07;  5.29;   2.10;    0.00;0;ENDLINE
LINE;2.52;27.91;100.80;0.01; 5.07;  5.32;   2.10;    0.00;0;ENDLINE
LINE;2.53;27.93;100.75;0.01; 5.07;  5.34;   2.10;    0.00;0;ENDLINE
LINE;2.54;27.95;100.70;0.01; 5.07;  5.36;   2.07;    0.00;0;ENDLINE
LINE;2.55;27.97;100.65;0.01; 5.07;  5.38;   1.97;    0.00;0;ENDLINE
LINE;2.56;27.99;100.60;0.01; 5.07;  5.40;   1.81;    0.00;0;ENDLINE
LINE;2.57;28.01;100.55;0.01; 5.07;  5.41;   1.65;    0.00;0;ENDLINE
LINE;2.58;28.03;100.50;0.01; 5.07;  5.43;   1.50;    0.00;0;ENDLINE
LINE;2.59;28.05;100.45;0.01; 5.07;  5.44;   1.35;    0.00;0;ENDLINE
LINE;2.60;28.06;100.40;0.01; 5.07;  5.46;   1.19;    0.00;0;ENDLINE
LINE;2.61;28.08;100.35;0.01; 5.07;  5.47;   1.06;    0.00;0;ENDLINE
LINE;2.62;28.10;100.30;0.01; 5.07;  5.48;   0.96;    0.00;0;ENDLINE
LINE;2.63;28.12;100.24;0.01; 5.07;  5.49;   0.87;    0.00;0;ENDLINE
LINE;2.64;28.14;100.19;0.01; 5.07;  5.50;   0.79;    0.00;0;ENDLINE
LINE;2.65;28.16;100.14;0.01; 5.07;  5.50;   0.73;    0.00;0;ENDLINE
LINE;2.66;28.18;100.09;0.01; 5.07;  5.51;   0.68;    0.00;0;ENDLINE
LINE;2.67;28.20;100.04;0.01; 5.07;  5.52;   0.63;    0.00;0;ENDLINE
LINE;2.68;28.22;99.99;0.01; 5.07;  5.52;   0.58;    0.00;0;ENDLINE
LINE;2.69;28.24;99.94;0.00; 5.07;  5.53;   0.54;    0.00;0;ENDLINE
LINE;2.70;28.26;99.88;0.00; 5.07;  5.53;   0.49;    0.00;0;ENDLINE
LINE;2.71;28.28;99.83;0.00; 5.07;  5.54;   0.46;    0.00;0;ENDLINE
LINE;2.72;28.30;99.78;0.00; 5.07;  5.54;   0.43;    0.00;0;ENDLINE
LINE;2.73;28.32;99.73;0.00; 5.07;  5.55;   0.40;    0.00;0;ENDLINE
LINE;2.74;28.34;99.68;0.00; 5.07;  5.55;   0.38;    0.00;0;ENDLINE
LINE;2.75;28.36;99.62;0.00; 5.07;  5.56;   0.36;    0.00;0;ENDLINE
LINE;2.76;28.38;99.57;0.00; 5.07;  5.56;   0.34;    0.00;0;ENDLINE
LINE;2.77;28.40;99.52;0.00; 5.07;  5.56;   0.33;    0.00;0;ENDLINE
LINE;2.78;28.42;99.47;0.00; 5.07;  5.57;   0.31;    0.00;0;ENDLINE
LINE;2.79;28.44;99.42;0.00; 5.07;  5.57;   0.30;    0.00;0;ENDLINE
LINE;2.80;28.45;99.36;-0.00; 5.07;  5.57;   0.29;    0.00;0;ENDLINE
